---NASA TLX V1.0.3 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,onto
STUDY GROUP:,app--user-1
SUBJECT ID:,interface-user
TRIAL:,1
TRIAL DATE TIME:,07-06-2022 12:42
---DATA---
PAIRWISE CHOICES, SELECTION
Performance vs. Mental Demand,Performance
Frustration vs. Mental Demand,Mental Demand
Physical Demand vs. Performance,Physical Demand
Physical Demand vs. Temporal Demand,Physical Demand
Temporal Demand vs. Frustration,Temporal Demand
Frustration vs. Effort,Effort
Temporal Demand vs. Effort,Effort
Temporal Demand vs. Mental Demand,Mental Demand
Physical Demand vs. Frustration,Physical Demand
Mental Demand vs. Effort,Mental Demand
Performance vs. Temporal Demand,Performance
Effort vs. Physical Demand,Effort
Performance vs. Frustration,Performance
Mental Demand vs. Physical Demand,Physical Demand
Effort vs. Performance,Effort
