---NASA TLX V1.0.3 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,onto
STUDY GROUP:,app--user-1
SUBJECT ID:,dataset-user
TRIAL:,1
TRIAL DATE TIME:,07-06-2022 11:59
---DATA---
PAIRWISE CHOICES, SELECTION
Temporal Demand vs. Frustration,Temporal Demand
Physical Demand vs. Frustration,Physical Demand
Physical Demand vs. Temporal Demand,Physical Demand
Temporal Demand vs. Mental Demand,Mental Demand
Mental Demand vs. Effort,Mental Demand
Performance vs. Temporal Demand,Performance
Frustration vs. Mental Demand,Mental Demand
Effort vs. Physical Demand,Effort
Performance vs. Frustration,Performance
Performance vs. Mental Demand,Mental Demand
Temporal Demand vs. Effort,Effort
Effort vs. Performance,Performance
Physical Demand vs. Performance,Physical Demand
Mental Demand vs. Physical Demand,Physical Demand
Frustration vs. Effort,Effort
