doc,topic1,topic2,topic3,topic4,topic5,topic6,catogory
0,0.073319731,0.844298221,0.018068791,0.023642944,0.024913691,0.015756623,0
1,0.113319654,0.009347936,0.707024397,0.016177567,0.017047069,0.137083376,0
2,0.63566197,0.08297939,0.014150748,0.0185162,0.019511398,0.229180294,5
3,0.728651216,0.038597836,0.051049085,0.066797534,0.070387728,0.044516602,1
4,0.207147518,0.299349685,0.051049085,0.066797534,0.331139576,0.044516602,0
5,0.392071879,0.376981466,0.004570473,0.005980447,0.216410123,0.003985614,2
6,0.467899367,0.038597836,0.051049085,0.066797534,0.331139576,0.044516602,4
7,0.210216578,0.744543507,0.028583116,0.006123399,0.006452516,0.004080883,2
8,0.078862943,0.001497699,0.366224041,0.053181256,0.498506699,0.001727363,5
9,0.627077425,0.013661679,0.018068791,0.115935893,0.209499589,0.015756623,1
10,0.306862092,0.001577504,0.300482307,0.077329012,0.258644694,0.055104391,2
11,0.207147518,0.299349685,0.051049085,0.327549382,0.070387728,0.044516602,1
12,0.236113974,0.434980767,0.016542074,0.021645241,0.276292673,0.014425272,2
13,0.262532143,0.021656735,0.028642966,0.622696858,0.039493622,0.024977676,4
14,0.650279763,0.025368217,0.204929461,0.043902314,0.04626195,0.029258294,1
15,0.700586825,0.00879267,0.249228427,0.015216622,0.016034476,0.010140978,0
16,0.089917173,0.016754284,0.474900527,0.142180388,0.256924167,0.019323461,5
17,0.574092715,0.181496711,0.016542074,0.021645241,0.107303302,0.098919957,4
18,0.924782427,0.010699276,0.014150748,0.0185162,0.019511398,0.012339951,1
19,0.33261564,0.000705436,0.019995593,0.563567264,0.082302458,0.000813611,4
20,0.487482747,0.015050758,0.019905971,0.331077952,0.027446841,0.11903573,3
21,0.658587401,0.01250734,0.016542074,0.275129297,0.022808616,0.014425272,4
22,0.139806392,0.089444445,0.560634256,0.019958826,0.176854705,0.013301376,0
23,0.324889443,0.512923599,0.067046382,0.014363437,0.071204759,0.00957238,2
24,0.351873594,0.005317939,0.007033449,0.619943711,0.009697892,0.006133416,4
25,0.207147518,0.038597836,0.311800933,0.066797534,0.070387728,0.305268451,0
26,0.467899367,0.038597836,0.051049085,0.066797534,0.331139576,0.044516602,5
27,0.207147518,0.560101534,0.051049085,0.066797534,0.070387728,0.044516602,2
28,0.284128705,0.015050758,0.121582993,0.331077952,0.230800883,0.017358709,4
29,0.78477225,0.030614935,0.040490985,0.052982301,0.055829962,0.035309567,0
30,0.661305395,0.232576973,0.010977056,0.014363437,0.071204759,0.00957238,4
31,0.034569453,0.509036836,0.002421925,0.00316908,0.4486907,0.002112004,2
32,0.650279763,0.196745947,0.033551732,0.043902314,0.04626195,0.029258294,2
33,0.203102546,0.582681148,0.022159036,0.028995015,0.030553422,0.132508834,5
34,0.555140965,0.021656735,0.028642966,0.037479212,0.039493622,0.317586499,4
35,0.356968224,0.006779241,0.008966152,0.149125866,0.01236275,0.465797767,0
36,0.54696768,0.00142558,0.252282567,0.002467113,0.195212876,0.001644185,1
37,0.467899367,0.038597836,0.051049085,0.066797534,0.331139576,0.044516602,1
38,0.164304751,0.651082434,0.040490985,0.052982301,0.055829962,0.035309567,2
39,0.408836554,0.021656735,0.028642966,0.037479212,0.478406857,0.024977676,5
40,0.048986891,0.000431768,0.729784677,0.000747219,0.111627851,0.108421594,3
41,0.139806392,0.32317916,0.015253255,0.409516684,0.098943133,0.013301376,4
42,0.207147518,0.038597836,0.051049085,0.327549382,0.070387728,0.305268451,4
43,0.451452678,0.011532874,0.015253255,0.487428256,0.021031561,0.013301376,1
44,0.136146576,0.025368217,0.033551732,0.558035502,0.04626195,0.200636023,4
45,0.457997621,0.009978061,0.013196876,0.017268062,0.490051238,0.011508141,5
46,0.701445377,0.021656735,0.028642966,0.037479212,0.185798034,0.024977676,1
47,0.467899367,0.299349685,0.051049085,0.066797534,0.070387728,0.044516602,0
48,0.201981284,0.08297939,0.014150748,0.0185162,0.670032427,0.012339951,2
49,0.413825194,0.007859021,0.010394257,0.013600846,0.173609256,0.380711425,3
50,0.597323605,0.003715952,0.03001819,0.232362444,0.006776478,0.129803332,4
51,0.871131564,0.009347936,0.01236348,0.016177567,0.080198062,0.010781391,1
52,0.52936425,0.011532874,0.093164827,0.097870398,0.176854705,0.091212948,0
53,0.611918937,0.018892656,0.024987225,0.032695689,0.289715753,0.021789741,1
54,0.467899367,0.038597836,0.311800933,0.066797534,0.070387728,0.044516602,0
55,0.769029409,0.016754284,0.022159036,0.028995015,0.143738794,0.019323461,1
56,0.792513811,0.015050758,0.019905971,0.026046888,0.027446841,0.11903573,1
57,0.207147518,0.038597836,0.311800933,0.066797534,0.070387728,0.305268451,4
58,0.78477225,0.030614935,0.040490985,0.052982301,0.055829962,0.035309567,4
59,0.78477225,0.030614935,0.040490985,0.052982301,0.055829962,0.035309567,1
60,0.073319731,0.013661679,0.571826485,0.115935893,0.11720664,0.108049572,5
61,0.478902034,0.025368217,0.033551732,0.043902314,0.217639679,0.200636023,0
62,0.262416932,0.001001286,0.29218898,0.022025714,0.211519112,0.210847976,5
63,0.385805726,0.421758843,0.121582993,0.026046888,0.027446841,0.017358709,0
64,0.701445377,0.021656735,0.028642966,0.037479212,0.039493622,0.171282088,0
65,0.827576772,0.01250734,0.016542074,0.021645241,0.107303302,0.014425272,1
66,0.728651216,0.038597836,0.051049085,0.066797534,0.070387728,0.044516602,1
67,0.650279763,0.025368217,0.033551732,0.215280044,0.04626195,0.029258294,1
68,0.847749788,0.021656735,0.028642966,0.037479212,0.039493622,0.024977676,4
69,0.467899367,0.038597836,0.051049085,0.066797534,0.331139576,0.044516602,0
70,0.728651216,0.038597836,0.051049085,0.066797534,0.070387728,0.044516602,1
71,0.918922108,0.011532874,0.015253255,0.019958826,0.021031561,0.013301376,1
72,0.203102546,0.69586652,0.022159036,0.028995015,0.030553422,0.019323461,2
73,0.07528505,0.006210395,0.301898771,0.052702725,0.430875347,0.133027712,5
74,0.207147518,0.299349685,0.051049085,0.066797534,0.331139576,0.044516602,0
75,0.847749788,0.021656735,0.028642966,0.037479212,0.039493622,0.024977676,5
76,0.620699992,0.006210395,0.008213802,0.262477702,0.011325392,0.091072716,0
77,0.467899367,0.038597836,0.051049085,0.066797534,0.070387728,0.305268451,5
78,0.467899367,0.299349685,0.051049085,0.066797534,0.070387728,0.044516602,1
79,0.467899367,0.038597836,0.051049085,0.327549382,0.070387728,0.044516602,1
80,0.491101741,0.010699276,0.014150748,0.452196886,0.019511398,0.012339951,4
81,0.467899367,0.038597836,0.051049085,0.066797534,0.070387728,0.305268451,0
82,0.067124603,0.097002025,0.016542074,0.021645241,0.783260785,0.014425272,5
83,0.773354603,0.001594496,0.002108864,0.218195281,0.002907753,0.001839004,4
84,0.207147518,0.038597836,0.051049085,0.588301231,0.070387728,0.044516602,4
85,0.821657493,0.025368217,0.033551732,0.043902314,0.04626195,0.029258294,0
86,0.78477225,0.030614935,0.040490985,0.052982301,0.055829962,0.035309567,1
87,0.78477225,0.030614935,0.040490985,0.052982301,0.055829962,0.035309567,1
88,0.086125196,0.007104618,0.009396492,0.060291287,0.828888336,0.008194072,5
89,0.681678586,0.009347936,0.075514473,0.205630544,0.017047069,0.010781391,4
90,0.728651216,0.038597836,0.051049085,0.066797534,0.070387728,0.044516602,0
91,0.365923624,0.072498929,0.01236348,0.142479552,0.395953024,0.010781391,1
92,0.346541513,0.155259505,0.086430862,0.0185162,0.308631855,0.084620066,5
93,0.113319654,0.767159845,0.01236348,0.016177567,0.080198062,0.010781391,2
94,0.515175802,0.00596033,0.007883068,0.453237119,0.010869367,0.006874313,4
95,0.69083679,0.116727779,0.019905971,0.026046888,0.129123862,0.017358709,1
96,0.792513811,0.015050758,0.019905971,0.127723909,0.027446841,0.017358709,1
97,0.223752251,0.004249315,0.12044693,0.150887417,0.380936331,0.119727756,5
98,0.116227731,0.167961147,0.028642966,0.183783623,0.478406857,0.024977676,2
99,0.368970019,0.174030378,0.008213802,0.220522707,0.011325392,0.216937703,3
100,0.912071457,0.01250734,0.016542074,0.021645241,0.022808616,0.014425272,1
101,0.053550424,0.347017391,0.215420474,0.017268062,0.355235506,0.011508141,5
102,0.207147518,0.038597836,0.051049085,0.327549382,0.331139576,0.044516602,0
103,0.191298802,0.007462803,0.312364837,0.012915149,0.013609305,0.462349104,3
104,0.401897229,0.004649753,0.006149713,0.1651064,0.165538899,0.256658006,3
105,0.418821627,0.010699276,0.014150748,0.524477,0.019511398,0.012339951,4
