,Unnamed: 0,topic,fre,keywords
0,0,1,0.078,friend 
1,1,1,0.029,point 
2,2,1,0.025,report 
3,3,1,0.023,interest 
4,4,1,0.021,work 
5,5,1,0.017,regulation 
6,6,1,0.017,change 
7,7,1,0.017,number 
8,8,1,0.016,part 
9,9,1,0.015,state 
10,10,1,0.015,member 
11,11,1,0.011,system 
12,12,1,0.011,defence 
13,13,1,0.011,time 
14,14,1,0.01,reason 
15,15,1,0.01,account 
16,16,1,0.009,matter 
17,17,1,0.008,basis 
18,18,1,0.008,proposal 
19,19,1,0.008,intervention 
20,20,1,0.008,position 
21,21,1,0.007,control 
22,22,1,0.007,contract 
23,23,1,0.007,programme 
24,24,1,0.007,approach 
25,25,1,0.007,deal 
26,26,1,0.007,requirement 
27,27,1,0.007,advice 
28,28,1,0.006,bank 
29,29,1,0.006,standard
30,30,2,0.086,people 
31,31,2,0.039,child 
32,32,2,0.03,work 
33,33,2,0.03,school 
34,34,2,0.024,year 
35,35,2,0.023,family 
36,36,2,0.019,support 
37,37,2,0.018,education 
38,38,2,0.015,time 
39,39,2,0.014,number 
40,40,2,0.014,life 
41,41,2,0.012,woman 
42,42,2,0.012,home 
43,43,2,0.012,place 
44,44,2,0.012,week 
45,45,2,0.011,system 
46,46,2,0.01,society 
47,47,2,0.01,parent 
48,48,2,0.01,opportunity 
49,49,2,0.01,care 
50,50,2,0.01,state 
51,51,2,0.01,training 
52,52,2,0.009,age 
53,53,2,0.008,thing 
54,54,2,0.008,today 
55,55,2,0.008,experience 
56,56,2,0.007,teacher 
57,57,2,0.007,level 
58,58,2,0.007,problem 
59,59,2,0.007,student
60,60,3,0.039,industry 
61,61,3,0.036,government 
62,62,3,0.031,business 
63,63,3,0.028,policy 
64,64,3,0.028,company 
65,65,3,0.024,job 
66,66,3,0.019,investment 
67,67,3,0.019,year 
68,68,3,0.018,economy 
69,69,3,0.017,market 
70,70,3,0.017,sector 
71,71,3,0.014,trade 
72,72,3,0.014,employment 
73,73,3,0.013,price 
74,74,3,0.012,time 
75,75,3,0.01,growth 
76,76,3,0.009,unemployment 
77,77,3,0.009,energy 
78,78,3,0.008,consumer 
79,79,3,0.008,worker 
80,80,3,0.007,country 
81,81,3,0.007,employer 
82,82,3,0.007,problem 
83,83,3,0.006,employee 
84,84,3,0.006,thing 
85,85,3,0.006,term 
86,86,3,0.006,technology 
87,87,3,0.006,coal 
88,88,3,0.006,product 
89,89,3,0.006,union
90,90,4,0.056,country 
91,91,4,0.032,community 
92,92,4,0.03,people 
93,93,4,0.023,area 
94,94,4,0.018,part 
95,95,4,0.017,development 
96,96,4,0.016,world 
97,97,4,0.013,problem 
98,98,4,0.012,agreement 
99,99,4,0.011,organisation 
100,100,4,0.011,constituency 
101,101,4,0.01,water 
102,102,4,0.01,security 
103,103,4,0.009,region 
104,104,4,0.009,action 
105,105,4,0.008,environment 
106,106,4,0.008,opportunity 
107,107,4,0.007,role 
108,108,4,0.007,place 
109,109,4,0.007,food 
110,110,4,0.007,facility 
111,111,4,0.007,effort 
112,112,4,0.007,land 
113,113,4,0.007,home 
114,114,4,0.007,house 
115,115,4,0.006,event 
116,116,4,0.006,site 
117,117,4,0.006,town 
118,118,4,0.006,interest 
119,119,4,0.006,building
120,120,5,0.178,member 
121,121,5,0.053,friend 
122,122,5,0.047,debate 
